Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Buprenorphine and Naloxone,71335-1378-3,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-1378-3),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-4,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-1378-4),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-5,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,14 TABLET in 1 BOTTLE (71335-1378-5),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-6,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-1378-6),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-7,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,6 TABLET in 1 BOTTLE (71335-1378-7),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-8,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,10 TABLET in 1 BOTTLE (71335-1378-8),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-9,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,21 TABLET in 1 BOTTLE (71335-1378-9),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,70518-2311-0,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,REMEDYREPACK INC.,70518-2311,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,09/12/2019,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-2311-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,60429-587-30,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA204431,"Golden State Medical Supply, Inc.",60429-587,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2016,09/30/2023,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (60429-587-30)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,N/A
Buprenorphine and Naloxone,0378-8767-93,"8 mg/1,                         2  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA207607,Mylan Pharmaceuticals Inc.,0378-8767,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/20/2019,N/A,ANDA,30 POUCH in 1 CARTON (0378-8767-93)  / 1 FILM in 1 POUCH (0378-8767-16),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,50383-287-93,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA204431,Akorn Operating Company LLC (dba Akorn),50383-287,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2016,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (50383-287-93)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,60505-7053-5,"8 mg/1,                         2  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA212756,Apotex Corp.,60505-7053,buprenorphine and naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/12/2022,N/A,ANDA,30 POUCH in 1 CARTON (60505-7053-5)  / 1 FILM in 1 POUCH (60505-7053-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,63629-9483-1,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205601,Bryant Ranch Prepack,63629-9483,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/12/2022,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (63629-9483-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,62175-458-32,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,"Lannett Company, Inc.",62175-458,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,09/19/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62175-458-32),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,60687-637-65,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205601,American Health Packaging,60687-637,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,11/01/2021,N/A,ANDA,50 BLISTER PACK in 1 CARTON (60687-637-65)  / 1 TABLET in 1 BLISTER PACK (60687-637-11),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,43598-582-30,"8 mg/1,                         2  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,ANDA205299,Dr.Reddys Laboratories Inc,43598-582,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/14/2018,N/A,ANDA,"30 POUCH in 1 CARTON (43598-582-30)  / 1 FILM, SOLUBLE in 1 POUCH (43598-582-01)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,62756-970-83,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA201633,"Sun Pharmaceutical Industries, Inc.",62756-970,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/18/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-970-83),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,65162-415-03,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA203136,Amneal Pharmaceuticals LLC,65162-415,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/22/2013,N/A,ANDA,30 TABLET in 1 BOTTLE (65162-415-03),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,50268-145-15,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA203136,AvPAK,50268-145,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/08/2016,N/A,ANDA,"50 BLISTER PACK in 1 BOX, UNIT-DOSE (50268-145-15)  / 1 TABLET in 1 BLISTER PACK (50268-145-11)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,65162-415-09,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA203136,Amneal Pharmaceuticals LLC,65162-415,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/22/2013,N/A,ANDA,90 TABLET in 1 BOTTLE (65162-415-09),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-9,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"21 TABLET in 1 BOTTLE, PLASTIC (71335-1858-9)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-1,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,10/23/2020,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1725-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,0054-0189-13,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA203326,Hikma Pharmaceuticals USA Inc.,0054-0189,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,06/27/2014,N/A,ANDA,30 TABLET in 1 BOTTLE (0054-0189-13),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,0406-8020-03,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,SpecGx LLC,0406-8020,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/13/2017,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (0406-8020-03)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-0,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,42 TABLET in 1 BOTTLE (71335-1725-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-2,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,05/25/2022,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-1725-2),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-3,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-1725-3),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-4,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-1725-4),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-5,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,"14 TABLET in 1 BOTTLE, PLASTIC (71335-1725-5)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-6,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,"28 TABLET in 1 BOTTLE, PLASTIC (71335-1725-6)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-7,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,"6 TABLET in 1 BOTTLE, PLASTIC (71335-1725-7)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-0,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"42 TABLET in 1 BOTTLE, PLASTIC (71335-1858-0)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-1,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,05/07/2021,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (71335-1858-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,0904-7010-06,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA203326,Major Pharmaceuticals,0904-7010,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,06/27/2014,N/A,ANDA,50 BLISTER PACK in 1 CARTON (0904-7010-06)  / 1 TABLET in 1 BLISTER PACK,"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-8,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,"10 TABLET in 1 BOTTLE, PLASTIC (71335-1725-8)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,71335-1725-9,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA207000,Bryant Ranch Prepack,71335-1725,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/28/2022,N/A,ANDA,"21 TABLET in 1 BOTTLE, PLASTIC (71335-1725-9)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-2,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,06/08/2021,N/A,ANDA,"60 TABLET in 1 BOTTLE, PLASTIC (71335-1858-2)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-3,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (71335-1858-3)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-4,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"120 TABLET in 1 BOTTLE, PLASTIC (71335-1858-4)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-5,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"14 TABLET in 1 BOTTLE, PLASTIC (71335-1858-5)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-6,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"28 TABLET in 1 BOTTLE, PLASTIC (71335-1858-6)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-7,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"6 TABLET in 1 BOTTLE, PLASTIC (71335-1858-7)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,71335-1858-8,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA209069,Bryant Ranch Prepack,71335-1858,BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2022,N/A,ANDA,"10 TABLET in 1 BOTTLE, PLASTIC (71335-1858-8)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Suboxone,12496-1208-3,"8 mg/1,                         2  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,NDA022410,INDIVIOR INC.,12496-1208,"buprenorphine hydrochloride, naloxone hydrochloride",BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/13/2010,N/A,NDA,"30 POUCH in 1 CARTON (12496-1208-3)  / 1 FILM, SOLUBLE in 1 POUCH (12496-1208-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
